customer_id,recency_days,frequency,monetary,state,customer_segment,R_Score,F_Score,M_Score,rfm_cell,rfm_score,rfm_segment,aov,clv_estimate
CUST_00031,144,6,2323.85,Colorado,Consumer,2,3,4,234,9,At Risk,387.31,3137.2
CUST_00032,334,3,236.04000000000002,Pennsylvania,Consumer,1,1,1,111,3,Lost Customers,78.68,318.65
CUST_00033,61,3,750.87,Washington,Consumer,3,1,1,311,5,Promising,250.29,1013.67
CUST_00034,421,2,128.24,California,Small Business,1,1,1,111,3,Lost Customers,64.12,173.12
CUST_00035,240,9,2482.9100000000003,California,Small Business,1,5,4,154,10,Can't Lose Them,275.88,3351.93
CUST_00036,301,4,1043.79,Pennsylvania,Corporate,1,1,2,112,4,Lost Customers,260.95,1409.12
CUST_00037,190,5,1798.29,Washington,Consumer,2,2,3,223,7,Customers Needing Attention,359.66,2427.69
CUST_00038,3,10,2909.25,Florida,Consumer,5,5,4,554,14,Champions,290.92,3927.49
CUST_00039,280,7,3965.85,California,Consumer,1,3,5,135,9,Hibernating,566.55,5353.9
CUST_00040,1,9,3578.76,Washington,Consumer,5,5,5,555,15,Champions,397.64,4831.33
CUST_00041,140,5,893.1,Illinois,Consumer,2,2,1,221,5,Customers Needing Attention,178.62,1205.69
CUST_00042,20,8,2493.36,New York,Consumer,4,4,4,444,12,Champions,311.67,3366.04
CUST_00043,78,6,1988.73,North Carolina,Consumer,3,3,3,333,9,Loyal Customers,331.46,2684.79
CUST_00044,59,7,1430.21,Pennsylvania,Small Business,3,3,2,332,8,Loyal Customers,204.32,1930.78
CUST_00045,93,5,2745.38,Colorado,Consumer,2,2,4,224,8,Customers Needing Attention,549.08,3706.26
CUST_00046,44,7,2487.51,Massachusetts,Consumer,3,3,4,334,10,Loyal Customers,355.36,3358.14
CUST_00047,97,8,2714.08,Massachusetts,Consumer,2,4,4,244,10,At Risk,339.26,3664.01
CUST_00048,8,7,2564.09,New York,Consumer,5,3,4,534,12,Loyal Customers,366.3,3461.52
CUST_00049,25,4,849.5699999999999,Massachusetts,Consumer,4,1,1,411,6,Potential Loyalists,212.39,1146.92
CUST_00050,59,10,3415.58,Texas,Consumer,3,5,5,355,13,Loyal Customers,341.56,4611.03
CUST_00051,310,6,1594.45,Ohio,Small Business,1,3,2,132,6,Hibernating,265.74,2152.51
CUST_00052,1,6,2448.67,California,Corporate,5,3,4,534,12,Loyal Customers,408.11,3305.7
CUST_00053,33,11,4102.9800000000005,Georgia,Small Business,4,5,5,455,14,Champions,373.0,5539.02
CUST_00054,200,5,507.51,California,Corporate,2,2,1,221,5,Customers Needing Attention,101.5,685.14
CUST_00055,48,5,1126.75,New York,Consumer,3,2,2,322,7,Promising,225.35,1521.11
CUST_00056,375,4,755.19,Massachusetts,Small Business,1,1,1,111,3,Lost Customers,188.8,1019.51
CUST_00057,38,8,2921.77,Georgia,Consumer,4,4,4,444,12,Champions,365.22,3944.39
CUST_00058,16,10,1562.68,New York,Consumer,5,5,2,552,12,Champions,156.27,2109.62
CUST_00059,114,10,6211.3099999999995,Florida,Consumer,2,5,5,255,12,At Risk,621.13,8385.27
CUST_00060,77,4,880.75,Colorado,Consumer,3,1,1,311,5,Promising,220.19,1189.01
CUST_00061,392,3,1654.64,New York,Consumer,1,1,3,113,5,Lost Customers,551.55,2233.76
CUST_00062,215,4,1720.86,Washington,Consumer,1,1,3,113,5,Lost Customers,430.22,2323.16
CUST_00063,336,1,81.24,Texas,Corporate,1,1,1,111,3,Lost Customers,81.24,109.67
CUST_00064,187,6,3461.99,Texas,Consumer,2,3,5,235,10,At Risk,577.0,4673.69
CUST_00065,31,4,710.99,California,Consumer,4,1,1,411,6,Potential Loyalists,177.75,959.84
CUST_00066,25,5,2027.33,Texas,Consumer,4,2,3,423,9,Potential Loyalists,405.47,2736.9
CUST_00067,39,5,2174.25,Texas,Consumer,4,2,3,423,9,Potential Loyalists,434.85,2935.24
CUST_00068,4,5,1563.66,California,Corporate,5,2,2,522,9,Potential Loyalists,312.73,2110.94
CUST_00069,42,7,3684.87,Ohio,Consumer,4,3,5,435,12,Loyal Customers,526.41,4974.57
CUST_00070,35,5,1115.85,California,Small Business,4,2,2,422,8,Potential Loyalists,223.17,1506.4
CUST_00071,366,8,2507.39,Texas,Corporate,1,4,4,144,9,Can't Lose Them,313.42,3384.98
CUST_00072,96,5,1192.3,Texas,Consumer,2,2,2,222,6,Customers Needing Attention,238.46,1609.6
CUST_00073,548,1,929.49,Georgia,Consumer,1,1,1,111,3,Lost Customers,929.49,1254.81
CUST_00074,105,6,1188.02,Pennsylvania,Corporate,2,3,2,232,7,At Risk,198.0,1603.83
CUST_00075,2,10,1929.1999999999998,New York,Corporate,5,5,3,553,13,Champions,192.92,2604.42
CUST_00076,14,9,1776.78,California,Corporate,5,5,3,553,13,Champions,197.42,2398.65
CUST_00077,10,8,2188.71,Colorado,Corporate,5,4,3,543,12,Champions,273.59,2954.76
CUST_00078,17,6,718.46,Pennsylvania,Consumer,5,3,1,531,9,Loyal Customers,119.74,969.92
CUST_00079,16,1,448.4,Pennsylvania,Consumer,5,1,1,511,7,Potential Loyalists,448.4,605.34
CUST_00080,41,9,3823.42,California,Consumer,4,5,5,455,14,Champions,424.82,5161.62
CUST_00081,372,5,3771.31,California,Corporate,1,2,5,125,8,Hibernating,754.26,5091.27
CUST_00082,40,7,4081.92,Ohio,Consumer,4,3,5,435,12,Loyal Customers,583.13,5510.59
CUST_00083,262,2,1537.09,North Carolina,Consumer,1,1,2,112,4,Lost Customers,768.54,2075.07
CUST_00084,48,7,1402.8700000000001,Georgia,Consumer,3,3,2,332,8,Loyal Customers,200.41,1893.87
CUST_00085,198,3,210.39,Texas,Consumer,2,1,1,211,4,Customers Needing Attention,70.13,284.03
CUST_00086,3,6,1984.1,Georgia,Consumer,5,3,3,533,11,Loyal Customers,330.68,2678.54
CUST_00087,46,6,1056.68,Georgia,Corporate,3,3,2,332,8,Loyal Customers,176.11,1426.52
CUST_00088,9,4,1084.77,Illinois,Consumer,5,1,2,512,8,Potential Loyalists,271.19,1464.44
CUST_00089,312,9,3315.8199999999997,New York,Corporate,1,5,5,155,11,Can't Lose Them,368.42,4476.36
CUST_00090,106,11,4405.63,California,Consumer,2,5,5,255,12,At Risk,400.51,5947.6
CUST_00091,3,4,2217.94,New York,Consumer,5,1,3,513,9,Potential Loyalists,554.48,2994.22
CUST_00092,246,4,966.59,California,Corporate,1,1,1,111,3,Lost Customers,241.65,1304.9
CUST_00093,53,7,3293.03,Illinois,Corporate,3,3,5,335,11,Loyal Customers,470.43,4445.59
CUST_00094,98,9,3175.23,Washington,Consumer,2,5,5,255,12,At Risk,352.8,4286.56
CUST_00095,94,10,5293.33,Florida,Corporate,2,5,5,255,12,At Risk,529.33,7146.0
CUST_00096,115,7,3477.2,New York,Consumer,2,3,5,235,10,At Risk,496.74,4694.22
CUST_00097,11,4,1460.04,New York,Consumer,5,1,2,512,8,Potential Loyalists,365.01,1971.05
CUST_00098,183,6,5955.61,New York,Consumer,2,3,5,235,10,At Risk,992.6,8040.07
CUST_00099,258,7,1357.03,New York,Consumer,1,3,2,132,6,Hibernating,193.86,1831.99
CUST_00100,115,8,1405.84,Georgia,Consumer,2,4,2,242,8,At Risk,175.73,1897.88
CUST_00101,59,7,3081.27,Ohio,Consumer,3,3,4,334,10,Loyal Customers,440.18,4159.71
CUST_00102,18,5,943.3800000000001,California,Consumer,5,2,1,521,8,Potential Loyalists,188.68,1273.56
CUST_00103,103,3,338.26,Illinois,Consumer,2,1,1,211,4,Customers Needing Attention,112.75,456.65
CUST_00104,19,5,1038.5,New York,Consumer,5,2,2,522,9,Potential Loyalists,207.7,1401.98
CUST_00105,5,10,3251.62,New York,Small Business,5,5,5,555,15,Champions,325.16,4389.69
CUST_00106,44,7,2042.74,North Carolina,Consumer,3,3,3,333,9,Loyal Customers,291.82,2757.7
CUST_00107,245,4,2348.9700000000003,Colorado,Consumer,1,1,4,114,6,Lost Customers,587.24,3171.11
CUST_00108,68,11,3977.34,Florida,Corporate,3,5,5,355,13,Loyal Customers,361.58,5369.41
CUST_00109,72,4,738.19,California,Consumer,3,1,1,311,5,Promising,184.55,996.56
CUST_00110,15,9,2062.54,California,Consumer,5,5,3,553,13,Champions,229.17,2784.43
CUST_00111,371,4,1701.04,Colorado,Consumer,1,1,3,113,5,Lost Customers,425.26,2296.4
CUST_00112,30,6,3273.11,Colorado,Consumer,4,3,5,435,12,Loyal Customers,545.52,4418.7
CUST_00113,10,10,2625.59,North Carolina,Small Business,5,5,4,554,14,Champions,262.56,3544.55
CUST_00114,31,6,3489.6800000000003,New York,Corporate,4,3,5,435,12,Loyal Customers,581.61,4711.07
CUST_00115,51,7,2432.6,North Carolina,Consumer,3,3,4,334,10,Loyal Customers,347.51,3284.01
CUST_00116,48,8,2015.71,Texas,Corporate,3,4,3,343,10,Loyal Customers,251.96,2721.21
CUST_00117,592,1,243.4,California,Corporate,1,1,1,111,3,Lost Customers,243.4,328.59
CUST_00118,192,5,1187.56,New York,Consumer,2,2,2,222,6,Customers Needing Attention,237.51,1603.21
CUST_00119,65,8,2508.12,New York,Corporate,3,4,4,344,11,Loyal Customers,313.52,3385.96
CUST_00120,269,7,1633.3400000000001,Texas,Consumer,1,3,3,133,7,Hibernating,233.33,2205.01
CUST_00121,7,3,315.90000000000003,Texas,Corporate,5,1,1,511,7,Potential Loyalists,105.3,426.47
CUST_00122,198,6,2526.76,California,Corporate,2,3,4,234,9,At Risk,421.13,3411.13
CUST_00123,323,8,2741.19,California,Consumer,1,4,4,144,9,Can't Lose Them,342.65,3700.61
CUST_00124,34,7,3396.2400000000002,Georgia,Consumer,4,3,5,435,12,Loyal Customers,485.18,4584.92
CUST_00125,390,5,1224.8700000000001,Florida,Consumer,1,2,2,122,5,Hibernating,244.97,1653.57
CUST_00126,15,6,1065.48,Illinois,Consumer,5,3,2,532,10,Loyal Customers,177.58,1438.4
CUST_00127,51,5,815.4300000000001,Washington,Corporate,3,2,1,321,6,Promising,163.09,1100.83
CUST_00128,2,4,1841.98,Texas,Corporate,5,1,3,513,9,Potential Loyalists,460.5,2486.67
CUST_00129,25,7,3224.45,North Carolina,Consumer,4,3,5,435,12,Loyal Customers,460.64,4353.01
CUST_00130,38,7,2117.33,Illinois,Consumer,4,3,3,433,10,Loyal Customers,302.48,2858.4
CUST_00131,14,6,2257.48,California,Consumer,5,3,4,534,12,Loyal Customers,376.25,3047.6
CUST_00132,33,7,5197.37,North Carolina,Consumer,4,3,5,435,12,Loyal Customers,742.48,7016.45
CUST_00133,193,8,2144.11,New York,Consumer,2,4,3,243,9,At Risk,268.01,2894.55
CUST_00134,111,5,956.53,Florida,Consumer,2,2,1,221,5,Customers Needing Attention,191.31,1291.32
CUST_00135,35,3,1733.5900000000001,New York,Small Business,4,1,3,413,8,Potential Loyalists,577.86,2340.35
CUST_00136,2,9,3186.15,Pennsylvania,Consumer,5,5,5,555,15,Champions,354.02,4301.3
CUST_00137,27,6,1270.91,Colorado,Consumer,4,3,2,432,9,Loyal Customers,211.82,1715.73
CUST_00138,51,9,2677.37,Illinois,Corporate,3,5,4,354,12,Loyal Customers,297.49,3614.45
CUST_00139,384,1,120.66,Colorado,Consumer,1,1,1,111,3,Lost Customers,120.66,162.89
CUST_00140,79,6,929.46,Florida,Small Business,3,3,1,331,7,Loyal Customers,154.91,1254.77
CUST_00141,74,4,2912.14,Washington,Small Business,3,1,4,314,8,Promising,728.04,3931.39
CUST_00142,16,4,1750.3899999999999,Colorado,Consumer,5,1,3,513,9,Potential Loyalists,437.6,2363.03
CUST_00143,33,9,3317.9,Washington,Consumer,4,5,5,455,14,Champions,368.66,4479.16
CUST_00144,85,7,1584.11,North Carolina,Consumer,3,3,2,332,8,Loyal Customers,226.3,2138.55
CUST_00145,53,7,1381.35,Ohio,Consumer,3,3,2,332,8,Loyal Customers,197.34,1864.82
CUST_00146,58,5,2134.87,Texas,Consumer,3,2,3,323,8,Promising,426.97,2882.07
CUST_00147,9,8,1637.12,North Carolina,Consumer,5,4,3,543,12,Champions,204.64,2210.11
CUST_00148,25,8,3597.89,New York,Consumer,4,4,5,445,13,Champions,449.74,4857.15
CUST_00149,30,9,2495.35,Texas,Consumer,4,5,4,454,13,Champions,277.26,3368.72
CUST_00150,410,5,1912.29,Colorado,Consumer,1,2,3,123,6,Hibernating,382.46,2581.59
CUST_00151,128,4,1513.9,Texas,Small Business,2,1,2,212,5,Customers Needing Attention,378.48,2043.77
CUST_00152,123,3,749.71,Massachusetts,Consumer,2,1,1,211,4,Customers Needing Attention,249.9,1012.11
CUST_00153,86,5,1462.76,California,Consumer,3,2,2,322,7,Promising,292.55,1974.73
CUST_00154,265,5,1444.87,Illinois,Consumer,1,2,2,122,5,Hibernating,288.97,1950.57
CUST_00155,2,6,3246.25,Florida,Small Business,5,3,5,535,13,Loyal Customers,541.04,4382.44
CUST_00156,214,3,2598.19,Illinois,Consumer,1,1,4,114,6,Lost Customers,866.06,3507.56
CUST_00157,47,7,1166.91,Washington,Consumer,3,3,2,332,8,Loyal Customers,166.7,1575.33
CUST_00158,41,4,699.14,California,Corporate,4,1,1,411,6,Potential Loyalists,174.78,943.84
CUST_00159,271,3,294.27,Illinois,Consumer,1,1,1,111,3,Lost Customers,98.09,397.26
CUST_00160,60,6,1946.8700000000001,Georgia,Corporate,3,3,3,333,9,Loyal Customers,324.48,2628.27
CUST_00161,269,7,3301.03,Washington,Consumer,1,3,5,135,9,Hibernating,471.58,4456.39
CUST_00162,11,7,2592.32,Illinois,Consumer,5,3,4,534,12,Loyal Customers,370.33,3499.63
CUST_00163,280,3,2091.98,New York,Consumer,1,1,3,113,5,Lost Customers,697.33,2824.17
CUST_00164,120,6,2315.05,New York,Consumer,2,3,4,234,9,At Risk,385.84,3125.32
CUST_00165,297,5,1156.47,California,Consumer,1,2,2,122,5,Hibernating,231.29,1561.23
CUST_00166,1,6,2386.42,New York,Corporate,5,3,4,534,12,Loyal Customers,397.74,3221.67
CUST_00167,18,4,1063.58,Texas,Consumer,5,1,2,512,8,Potential Loyalists,265.9,1435.83
CUST_00168,128,4,1894.92,Colorado,Consumer,2,1,3,213,6,Customers Needing Attention,473.73,2558.14
CUST_00169,48,4,717.26,Texas,Consumer,3,1,1,311,5,Promising,179.32,968.3
CUST_00170,103,5,3703.05,Colorado,Consumer,2,2,5,225,9,Customers Needing Attention,740.61,4999.12
CUST_00171,28,9,3196.69,Florida,Consumer,4,5,5,455,14,Champions,355.19,4315.53
CUST_00172,176,5,503.39,Colorado,Consumer,2,2,1,221,5,Customers Needing Attention,100.68,679.58
CUST_00173,214,6,1825.66,North Carolina,Consumer,1,3,3,133,7,Hibernating,304.28,2464.64
CUST_00174,301,4,266.31,Texas,Consumer,1,1,1,111,3,Lost Customers,66.58,359.52
CUST_00175,56,5,1211.9,California,Consumer,3,2,2,322,7,Promising,242.38,1636.07
CUST_00176,123,6,1624.29,Ohio,Consumer,2,3,3,233,8,At Risk,270.71,2192.79
CUST_00177,26,8,1780.98,Florida,Consumer,4,4,3,443,11,Champions,222.62,2404.32
CUST_00178,305,5,1236.3200000000002,Colorado,Consumer,1,2,2,122,5,Hibernating,247.26,1669.03
CUST_00179,125,4,548.27,California,Small Business,2,1,1,211,4,Customers Needing Attention,137.07,740.16
CUST_00180,13,6,1249.6200000000001,California,Consumer,5,3,2,532,10,Loyal Customers,208.27,1686.99
CUST_00181,23,7,3058.29,North Carolina,Consumer,4,3,4,434,11,Loyal Customers,436.9,4128.69
CUST_00182,118,7,1584.6799999999998,California,Consumer,2,3,2,232,7,At Risk,226.38,2139.32
CUST_00183,405,2,391.33,Illinois,Small Business,1,1,1,111,3,Lost Customers,195.66,528.3
CUST_00184,31,7,3112.52,New York,Corporate,4,3,5,435,12,Loyal Customers,444.65,4201.9
CUST_00185,24,7,1634.27,New York,Consumer,4,3,3,433,10,Loyal Customers,233.47,2206.26
CUST_00186,6,10,3002.62,California,Consumer,5,5,4,554,14,Champions,300.26,4053.54
CUST_00187,2,5,1511.77,Texas,Corporate,5,2,2,522,9,Potential Loyalists,302.35,2040.89
CUST_00188,138,6,2539.33,North Carolina,Consumer,2,3,4,234,9,At Risk,423.22,3428.1
CUST_00189,33,5,899.19,Texas,Consumer,4,2,1,421,7,Potential Loyalists,179.84,1213.91
CUST_00190,48,8,2068.88,Texas,Consumer,3,4,3,343,10,Loyal Customers,258.61,2792.99
CUST_00191,437,6,1317.34,California,Consumer,1,3,2,132,6,Hibernating,219.56,1778.41
CUST_00192,30,5,2505.27,Ohio,Corporate,4,2,4,424,10,Potential Loyalists,501.05,3382.11
CUST_00193,89,8,3082.0,Texas,Small Business,3,4,4,344,11,Loyal Customers,385.25,4160.7
CUST_00194,11,7,3521.8,California,Consumer,5,3,5,535,13,Loyal Customers,503.11,4754.43
CUST_00195,4,10,3923.71,Georgia,Consumer,5,5,5,555,15,Champions,392.37,5297.01
CUST_00196,13,5,1384.35,Washington,Consumer,5,2,2,522,9,Potential Loyalists,276.87,1868.87
CUST_00197,37,7,2084.2400000000002,North Carolina,Corporate,4,3,3,433,10,Loyal Customers,297.75,2813.72
CUST_00198,172,2,482.11,Massachusetts,Corporate,2,1,1,211,4,Customers Needing Attention,241.06,650.85
CUST_00199,299,6,3707.31,Washington,Corporate,1,3,5,135,9,Hibernating,617.88,5004.87
CUST_00200,34,2,128.21,California,Corporate,4,1,1,411,6,Potential Loyalists,64.1,173.08
CUST_00201,41,5,710.52,Illinois,Consumer,4,2,1,421,7,Potential Loyalists,142.1,959.2
CUST_00202,331,6,2153.74,Ohio,Consumer,1,3,3,133,7,Hibernating,358.96,2907.55
CUST_00203,237,5,1445.96,Pennsylvania,Consumer,1,2,2,122,5,Hibernating,289.19,1952.05
CUST_00204,9,8,2451.17,California,Corporate,5,4,4,544,13,Champions,306.4,3309.08
CUST_00205,331,5,1906.43,Texas,Consumer,1,2,3,123,6,Hibernating,381.29,2573.68
CUST_00206,59,5,486.88,Illinois,Consumer,3,2,1,321,6,Promising,97.38,657.29
CUST_00207,41,7,1810.85,Ohio,Consumer,4,3,3,433,10,Loyal Customers,258.69,2444.65
CUST_00208,61,9,3043.09,Texas,Consumer,3,5,4,354,12,Loyal Customers,338.12,4108.17
CUST_00209,228,10,4287.67,Illinois,Consumer,1,5,5,155,11,Can't Lose Them,428.77,5788.35
CUST_00210,25,9,5063.1900000000005,Georgia,Consumer,4,5,5,455,14,Champions,562.58,6835.31
CUST_00211,11,6,1089.23,Illinois,Consumer,5,3,2,532,10,Loyal Customers,181.54,1470.46
CUST_00212,65,7,1080.22,Washington,Consumer,3,3,2,332,8,Loyal Customers,154.32,1458.3
CUST_00213,52,12,3845.14,Georgia,Consumer,3,5,5,355,13,Loyal Customers,320.43,5190.94
CUST_00214,57,5,2571.89,Texas,Consumer,3,2,4,324,9,Promising,514.38,3472.05
CUST_00215,385,4,1170.79,New York,Corporate,1,1,2,112,4,Lost Customers,292.7,1580.57
CUST_00216,443,2,679.74,Florida,Consumer,1,1,1,111,3,Lost Customers,339.87,917.65
CUST_00217,175,7,1737.13,Texas,Consumer,2,3,3,233,8,At Risk,248.16,2345.13
CUST_00218,202,2,933.9000000000001,Colorado,Corporate,2,1,1,211,4,Customers Needing Attention,466.95,1260.77
CUST_00219,34,8,1276.81,Georgia,Consumer,4,4,2,442,10,Champions,159.6,1723.69
CUST_00220,17,5,1817.0,Massachusetts,Corporate,5,2,3,523,10,Potential Loyalists,363.4,2452.95
CUST_00221,98,5,2060.46,California,Consumer,2,2,3,223,7,Customers Needing Attention,412.09,2781.62
CUST_00222,481,4,1223.3899999999999,California,Consumer,1,1,2,112,4,Lost Customers,305.85,1651.58
CUST_00223,10,6,1820.0300000000002,Washington,Consumer,5,3,3,533,11,Loyal Customers,303.34,2457.04
CUST_00224,61,7,1764.3600000000001,California,Consumer,3,3,3,333,9,Loyal Customers,252.05,2381.89
CUST_00225,64,9,1974.0800000000002,Washington,Consumer,3,5,3,353,11,Loyal Customers,219.34,2665.01
CUST_00226,51,4,1132.24,New York,Consumer,3,1,2,312,6,Promising,283.06,1528.52
CUST_00227,68,7,1917.37,Illinois,Small Business,3,3,3,333,9,Loyal Customers,273.91,2588.45
CUST_00228,32,2,115.21000000000001,New York,Consumer,4,1,1,411,6,Potential Loyalists,57.6,155.53
CUST_00229,209,4,670.36,North Carolina,Corporate,2,1,1,211,4,Customers Needing Attention,167.59,904.99
CUST_00230,289,6,2607.62,Florida,Consumer,1,3,4,134,8,Hibernating,434.6,3520.29
CUST_00231,333,5,1471.01,Florida,Corporate,1,2,2,122,5,Hibernating,294.2,1985.86
CUST_00232,28,13,3176.85,New York,Consumer,4,5,5,455,14,Champions,244.37,4288.75
CUST_00233,7,7,1831.04,Texas,Consumer,5,3,3,533,11,Loyal Customers,261.58,2471.9
CUST_00234,44,6,4605.12,Illinois,Consumer,3,3,5,335,11,Loyal Customers,767.52,6216.91
CUST_00235,222,3,1446.08,Ohio,Consumer,1,1,2,112,4,Lost Customers,482.03,1952.21
CUST_00236,183,7,2794.69,Texas,Corporate,2,3,4,234,9,At Risk,399.24,3772.83
CUST_00237,304,3,566.49,North Carolina,Consumer,1,1,1,111,3,Lost Customers,188.83,764.76
CUST_00238,235,6,3100.29,New York,Consumer,1,3,5,135,9,Hibernating,516.72,4185.39
CUST_00239,143,6,817.11,Washington,Consumer,2,3,1,231,6,At Risk,136.18,1103.1
CUST_00240,159,6,3489.9,Colorado,Consumer,2,3,5,235,10,At Risk,581.65,4711.37
CUST_00241,89,3,246.36,California,Small Business,3,1,1,311,5,Promising,82.12,332.59
CUST_00242,94,5,1993.85,Pennsylvania,Small Business,2,2,3,223,7,Customers Needing Attention,398.77,2691.7
CUST_00243,31,8,6224.57,California,Small Business,4,4,5,445,13,Champions,778.07,8403.17
CUST_00244,59,10,2797.5,Colorado,Consumer,3,5,4,354,12,Loyal Customers,279.75,3776.63
CUST_00245,207,3,1901.6499999999999,New York,Consumer,2,1,3,213,6,Customers Needing Attention,633.88,2567.23
CUST_00246,254,4,1999.3,New York,Small Business,1,1,3,113,5,Lost Customers,499.82,2699.06
CUST_00247,190,5,824.6899999999999,New York,Consumer,2,2,1,221,5,Customers Needing Attention,164.94,1113.33
CUST_00248,67,11,4528.96,Texas,Small Business,3,5,5,355,13,Loyal Customers,411.72,6114.1
CUST_00249,48,4,1462.75,Washington,Small Business,3,1,2,312,6,Promising,365.69,1974.71
CUST_00250,128,6,3154.07,Florida,Corporate,2,3,5,235,10,At Risk,525.68,4257.99
CUST_00251,58,9,2454.65,New York,Consumer,3,5,4,354,12,Loyal Customers,272.74,3313.78
CUST_00252,98,4,1207.91,Ohio,Consumer,2,1,2,212,5,Customers Needing Attention,301.98,1630.68
CUST_00253,51,9,5515.59,New York,Corporate,3,5,5,355,13,Loyal Customers,612.84,7446.05
CUST_00254,49,4,1171.67,Illinois,Consumer,3,1,2,312,6,Promising,292.92,1581.75
CUST_00255,34,7,2705.83,California,Consumer,4,3,4,434,11,Loyal Customers,386.55,3652.87
CUST_00256,195,7,890.26,Texas,Consumer,2,3,1,231,6,At Risk,127.18,1201.85
CUST_00257,3,12,3586.98,California,Small Business,5,5,5,555,15,Champions,298.92,4842.42
CUST_00258,100,5,2256.95,Florida,Consumer,2,2,4,224,8,Customers Needing Attention,451.39,3046.88
CUST_00259,118,5,1269.1200000000001,Florida,Consumer,2,2,2,222,6,Customers Needing Attention,253.82,1713.31
CUST_00260,53,6,1594.07,Texas,Consumer,3,3,2,332,8,Loyal Customers,265.68,2151.99
CUST_00261,119,7,913.5,Colorado,Consumer,2,3,1,231,6,At Risk,130.5,1233.23
CUST_00262,1,13,3667.41,New York,Small Business,5,5,5,555,15,Champions,282.11,4951.0
CUST_00263,50,8,2978.7799999999997,Massachusetts,Consumer,3,4,4,344,11,Loyal Customers,372.35,4021.35
CUST_00264,44,8,2666.82,Ohio,Consumer,3,4,4,344,11,Loyal Customers,333.35,3600.21
CUST_00265,20,4,404.2,Colorado,Corporate,4,1,1,411,6,Potential Loyalists,101.05,545.67
CUST_00266,7,6,2706.09,Texas,Corporate,5,3,4,534,12,Loyal Customers,451.02,3653.22
CUST_00267,39,7,1048.31,Florida,Consumer,4,3,2,432,9,Loyal Customers,149.76,1415.22
CUST_00268,90,7,2036.7,Texas,Corporate,3,3,3,333,9,Loyal Customers,290.96,2749.54
CUST_00269,45,6,2421.94,Illinois,Consumer,3,3,4,334,10,Loyal Customers,403.66,3269.62
